osm_id,latitude,longitude,source_url,tags_json,release_ready,review_status
12240158163,35.1745325,-106.5698554,https://www.openstreetmap.org/node/12240158163,"{""direction"": ""forward"", ""direction_east"": ""yes"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""PdN WB""}",false,unreconciled_osm_candidate
12310625751,35.0731717,-106.5323898,https://www.openstreetmap.org/node/12310625751,"{""highway"": ""speed_camera"", ""maxspeed"": ""40 mph""}",false,unreconciled_osm_candidate
12718015934,35.0731956,-106.5323226,https://www.openstreetmap.org/node/12718015934,"{""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Eubank NE NB""}",false,unreconciled_osm_candidate
12718015935,35.073189,-106.5324923,https://www.openstreetmap.org/node/12718015935,"{""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Eubank NE SB""}",false,unreconciled_osm_candidate
12795915923,34.6371799,-106.7278225,https://www.openstreetmap.org/node/12795915923,"{""highway"": ""speed_camera""}",false,unreconciled_osm_candidate
12861865379,35.0670176,-106.6957764,https://www.openstreetmap.org/node/12861865379,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Bridge WB""}",false,unreconciled_osm_candidate
13105388207,35.2036441,-106.6595796,https://www.openstreetmap.org/node/13105388207,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Coors Bypass NB27935.00""}",false,unreconciled_osm_candidate
13105388208,35.2037079,-106.6597837,https://www.openstreetmap.org/node/13105388208,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Coors Bypass SB""}",false,unreconciled_osm_candidate
13380469273,35.2300461,-106.6771429,https://www.openstreetmap.org/node/13380469273,"{""direction"": ""both"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Golf Course @ 16th""}",false,unreconciled_osm_candidate
13380469274,35.2869236,-106.6569774,https://www.openstreetmap.org/node/13380469274,"{""direction"": ""both"", ""highway"": ""speed_camera"", ""maxspeed"": ""45 mph"", ""ref"": ""Idalia @ Loma Colorado""}",false,unreconciled_osm_candidate
13380469275,35.286773,-106.6179939,https://www.openstreetmap.org/node/13380469275,"{""direction"": ""both"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Kim @ Saratoga""}",false,unreconciled_osm_candidate
13380469276,35.2506104,-106.6770459,https://www.openstreetmap.org/node/13380469276,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Broodmoor SB @ Nicklaus""}",false,unreconciled_osm_candidate
13380469277,35.2675925,-106.6435,https://www.openstreetmap.org/node/13380469277,"{""direction"": ""both"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Rockaway @ Pyrite""}",false,unreconciled_osm_candidate
13380469278,35.3069325,-106.6969369,https://www.openstreetmap.org/node/13380469278,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""45 mph"", ""ref"": ""Unser SB @ PdV""}",false,unreconciled_osm_candidate
13380469279,35.2256224,-106.6966324,https://www.openstreetmap.org/node/13380469279,"{""highway"": ""speed_camera""}",false,unreconciled_osm_candidate
13380469280,35.306903,-106.6966779,https://www.openstreetmap.org/node/13380469280,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""45 mph"", ""ref"": ""Unser NB @ PdV""}",false,unreconciled_osm_candidate
13380490909,35.2506114,-106.6769657,https://www.openstreetmap.org/node/13380490909,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Broodmoor NB @ Nicklaus""}",false,unreconciled_osm_candidate
13380490911,35.256699,-106.6968954,https://www.openstreetmap.org/node/13380490911,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Unser SB @ 2nd""}",false,unreconciled_osm_candidate
13380490912,35.256708,-106.6967666,https://www.openstreetmap.org/node/13380490912,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph"", ""ref"": ""Unser NB @ 2nd""}",false,unreconciled_osm_candidate
13380490924,35.2635409,-106.6771018,https://www.openstreetmap.org/node/13380490924,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Broodmoor SB @ Loma Colorado""}",false,unreconciled_osm_candidate
13380490925,35.2635477,-106.6769406,https://www.openstreetmap.org/node/13380490925,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph"", ""ref"": ""Broodmoor NB @ Loma Colorado""}",false,unreconciled_osm_candidate
13380490952,35.3151091,-106.6989068,https://www.openstreetmap.org/node/13380490952,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""35 mph"", ""ref"": ""King WB @ Lake Valley (Unser)""}",false,unreconciled_osm_candidate
13380490954,35.3149947,-106.6989046,https://www.openstreetmap.org/node/13380490954,"{""direction"": ""forward"", ""highway"": ""speed_camera"", ""maxspeed"": ""35 mph"", ""ref"": ""King EB @ Lake Valley (Unser)""}",false,unreconciled_osm_candidate
13538504540,35.192354,-106.6916402,https://www.openstreetmap.org/node/13538504540,"{""highway"": ""speed_camera"", ""maxspeed"": ""35 mph""}",false,unreconciled_osm_candidate
13715218470,35.1665643,-106.4961197,https://www.openstreetmap.org/node/13715218470,"{""direction"": ""330"", ""highway"": ""speed_camera"", ""surveillance"": ""outdoor"", ""surveillance:zone"": ""traffic""}",false,unreconciled_osm_candidate
13921481508,35.1283166,-106.5335065,https://www.openstreetmap.org/node/13921481508,"{""highway"": ""speed_camera"", ""image"": ""http://web.archive.org/web/20260630155202/https://streetcomplete.app/p/350847.jpg"", ""maxspeed"": ""40 mph""}",false,unreconciled_osm_candidate
14079677763,35.1747749,-106.5337798,https://www.openstreetmap.org/node/14079677763,"{""check_date"": ""2026-08-07"", ""direction"": ""270"", ""highway"": ""speed_camera"", ""website"": ""https://www.cabq.gov/automated-speed-enforcement""}",false,unreconciled_osm_candidate
